scorer,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000,DLC_dlcrnetms5_californiamouseMay31shuffle1_70000
individuals,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseA,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB,mouseB
bodyparts,a,a,a,b,b,b,c,c,c,d,d,d,e,e,e,a,a,a,b,b,b,c,c,c,d,d,d,e,e,e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,955.738,188.109,0.6990000009536743,925.51,185.983,0.9850000143051147,899.365,184.911,0.9890000224113464,874.394,178.729,0.996999979019165,851.981,171.776,0.996999979019165,442.12,76.201,1.0,483.355,108.594,1.0,532.436,130.734,1.0,573.733,142.113,0.9990000128746033,602.697,167.863,1.0
1,948.235,195.714,0.5920000076293945,925.347,186.49,0.9869999885559082,899.887,184.381,0.9890000224113464,874.587,182.092,0.9990000128746033,850.395,176.876,1.0,506.687,52.129,0.9980000257492065,524.863,98.027,0.9990000128746033,552.571,125.004,1.0,579.858,146.252,1.0,608.555,167.29,1.0
2,947.555,195.562,0.5699999928474426,925.633,180.817,0.9769999980926514,901.416,180.795,0.9980000257492065,875.707,179.485,1.0,854.523,176.559,1.0,540.949,59.552,0.9660000205039978,556.632,91.29,0.9990000128746033,570.921,116.652,0.9990000128746033,586.823,140.924,1.0,597.368,167.318,1.0
3,,,0.0,926.364,187.527,0.9580000042915344,900.018,184.389,0.9929999709129333,875.05,181.268,1.0,861.782,176.325,0.9990000128746033,562.862,37.998,0.9959999918937683,564.929,91.098,0.9990000128746033,569.406,120.279,0.996999979019165,575.401,140.386,0.9990000128746033,590.716,168.709,1.0
4,948.922,204.607,0.4350000023841858,926.067,187.585,0.9700000286102295,901.064,185.102,0.9909999966621399,875.341,180.698,1.0,855.436,177.475,1.0,572.617,30.329,0.968999981880188,570.362,86.184,0.9980000257492065,576.792,115.573,0.9990000128746033,576.572,140.494,1.0,592.723,167.318,1.0
5,948.814,204.365,0.4749999940395355,925.86,186.648,0.9779999852180481,899.87,184.594,0.9919999837875366,875.432,180.107,1.0,862.693,175.997,0.9990000128746033,570.735,19.002,0.9919999837875366,571.298,67.433,1.0,573.311,103.405,1.0,577.174,128.778,1.0,588.188,157.525,1.0
6,931.151,219.72,0.7200000286102295,918.385,196.741,1.0,895.509,185.555,0.9990000128746033,877.041,182.33,1.0,863.762,176.517,0.9990000128746033,534.917,13.753,0.9980000257492065,550.668,58.415,1.0,566.41,88.365,1.0,576.719,122.978,1.0,588.153,154.176,1.0
7,948.413,204.059,0.9240000247955322,919.503,194.739,1.0,897.11,185.04,0.9990000128746033,877.034,180.846,1.0,864.253,176.524,0.9990000128746033,472.011,83.982,1.0,513.936,99.542,1.0,550.14,114.409,0.9990000128746033,580.289,138.362,0.9990000128746033,600.633,164.727,1.0
8,940.351,219.446,0.9570000171661377,919.041,197.442,1.0,894.779,185.645,0.9990000128746033,877.695,180.13,1.0,864.272,176.491,0.9990000128746033,407.193,133.319,1.0,470.001,119.228,0.9990000128746033,514.13,123.775,0.9990000128746033,557.999,130.861,1.0,587.039,158.684,1.0
9,892.1,187.807,0.9049999713897705,907.991,188.724,0.9990000128746033,890.838,182.316,1.0,874.658,178.213,1.0,857.572,175.407,0.9990000128746033,367.985,129.359,1.0,421.656,124.811,1.0,468.435,123.449,0.9959999918937683,513.414,121.597,0.9990000128746033,552.992,123.24,1.0
10,907.975,196.723,0.9509999752044678,931.225,194.494,0.9869999885559082,899.493,187.423,0.9959999918937683,880.106,186.498,0.996999979019165,858.523,179.528,1.0,363.41,140.751,1.0,405.953,125.782,0.9959999918937683,452.151,114.519,0.9990000128746033,495.316,114.517,0.996999979019165,534.294,108.361,0.9990000128746033
11,902.019,187.652,0.9850000143051147,923.978,187.827,0.9549999833106995,907.838,186.544,0.984000027179718,879.62,186.5,0.9679999947547913,860.351,177.089,1.0,345.344,157.06,1.0,395.03,134.054,0.9990000128746033,443.064,115.012,1.0,492.522,106.563,0.996999979019165,525.183,97.89,0.9990000128746033
12,923.427,188.434,0.972000002861023,909.676,188.89,0.9660000205039978,901.237,185.531,0.996999979019165,879.312,181.089,0.9940000176429749,856.387,176.12,0.9990000128746033,367.655,164.828,1.0,413.129,132.934,1.0,452.491,111.088,1.0,492.173,102.555,0.9990000128746033,524.053,93.524,0.9959999918937683
13,923.635,237.68,0.9769999980926514,894.206,213.049,0.9990000128746033,875.745,187.78,0.9309999942779541,853.287,170.897,0.9729999899864197,841.234,164.886,0.9980000257492065,423.069,219.817,1.0,437.789,165.99,1.0,461.217,126.987,0.9929999709129333,499.402,97.851,0.9980000257492065,534.124,87.441,1.0
14,930.358,228.773,0.9980000257492065,890.497,215.561,0.9990000128746033,862.853,196.802,0.9890000224113464,849.994,172.309,0.9049999713897705,834.983,165.577,0.9990000128746033,445.712,246.595,1.0,451.351,196.908,1.0,461.087,140.063,0.9909999966621399,488.972,105.753,0.9980000257492065,519.524,88.508,1.0
15,946.503,194.975,0.9599999785423279,907.52,194.204,0.9940000176429749,876.774,186.321,0.9819999933242798,860.35,181.333,0.996999979019165,844.348,169.513,0.9950000047683716,488.439,262.088,1.0,466.583,216.556,1.0,461.246,172.384,0.9990000128746033,481.756,116.173,1.0,510.039,91.315,1.0
16,937.747,156.568,0.9760000109672546,900.403,170.326,0.9990000128746033,868.698,171.063,0.9879999756813049,852.112,169.738,0.9980000257492065,833.688,169.925,1.0,538.96,292.066,1.0,508.417,244.937,1.0,489.553,210.017,1.0,473.507,170.233,1.0,460.497,137.707,0.9980000257492065
17,908.456,138.475,0.722000002861023,879.27,163.778,0.996999979019165,853.818,168.377,0.9990000128746033,837.429,172.878,0.9909999966621399,825.316,178.13,0.9909999966621399,596.799,322.176,1.0,557.263,283.869,1.0,519.41,259.45,1.0,487.236,233.807,1.0,465.446,200.829,1.0
18,899.702,129.683,0.9779999852180481,867.141,163.225,0.9980000257492065,852.702,171.434,0.8379999995231628,835.564,171.852,0.9100000262260437,825.083,180.392,0.9070000052452087,625.304,342.722,1.0,586.44,309.961,1.0,547.302,281.547,1.0,523.686,260.961,1.0,491.745,243.072,1.0
19,854.138,87.49,0.9990000128746033,856.3,133.873,0.996999979019165,852.147,165.55,0.9980000257492065,845.311,194.652,0.9800000190734863,876.942,217.189,0.43799999356269836,660.863,376.963,1.0,624.555,339.794,1.0,600.69,310.943,1.0,572.097,288.585,1.0,535.591,274.556,1.0
20,815.827,65.143,0.9990000128746033,844.096,107.625,0.9990000128746033,850.757,138.192,0.9990000128746033,854.475,164.095,0.9900000095367432,818.829,171.352,0.9959999918937683,694.735,371.492,1.0,647.852,343.88,1.0,611.858,317.211,1.0,580.433,299.325,1.0,539.794,285.211,0.996999979019165
21,795.346,65.639,0.9990000128746033,829.886,91.952,0.9980000257492065,849.876,123.461,0.9990000128746033,853.147,153.96,0.9850000143051147,822.826,173.763,1.0,702.577,360.057,1.0,656.573,340.584,1.0,622.464,325.939,1.0,588.878,308.921,1.0,546.979,293.189,1.0
22,701.347,99.302,1.0,757.834,104.31,1.0,796.251,114.819,0.9990000128746033,828.862,135.489,0.996999979019165,835.815,168.83,0.9800000190734863,718.161,304.999,1.0,672.17,318.226,1.0,636.271,315.371,1.0,598.821,310.517,1.0,553.024,302.092,1.0
23,656.177,93.819,1.0,707.346,107.326,1.0,746.426,113.716,1.0,787.04,130.522,0.9990000128746033,808.148,157.863,1.0,736.609,275.823,1.0,685.939,299.982,0.9990000128746033,643.589,309.876,1.0,605.285,313.935,1.0,566.944,322.398,0.996999979019165
24,584.506,103.838,1.0,635.147,109.154,1.0,675.943,117.79,1.0,721.799,123.639,0.9980000257492065,761.639,139.23,1.0,769.964,240.729,1.0,722.36,279.637,1.0,675.518,302.282,0.9879999756813049,646.72,321.595,0.9980000257492065,614.168,333.055,1.0
25,534.23,95.233,1.0,581.956,107.658,0.9990000128746033,629.19,109.115,0.9980000257492065,676.684,109.139,1.0,712.406,111.094,1.0,809.234,231.685,1.0,758.777,251.841,1.0,722.339,271.634,1.0,691.106,300.221,1.0,659.434,321.077,1.0
26,477.163,86.93,1.0,523.134,96.156,1.0,566.184,102.4,1.0,611.37,103.961,0.9990000128746033,651.197,109.825,1.0,828.491,209.483,1.0,780.803,230.071,0.9959999918937683,741.697,251.296,0.9980000257492065,713.404,273.42,1.0,683.867,300.7,1.0
27,425.099,99.489,1.0,477.322,109.724,0.9980000257492065,522.743,121.121,0.9940000176429749,572.141,122.355,0.9990000128746033,605.548,121.782,1.0,808.481,180.207,1.0,783.055,222.348,0.9990000128746033,753.892,251.032,1.0,724.026,275.995,1.0,694.487,308.522,1.0
28,385.342,111.199,1.0,441.967,108.48,1.0,489.194,102.973,1.0,534.187,105.005,0.9990000128746033,568.768,102.394,0.9990000128746033,763.275,146.218,1.0,760.109,199.227,1.0,748.692,237.229,0.9990000128746033,733.194,275.67,1.0,708.133,305.523,1.0
29,348.003,119.778,1.0,400.263,104.762,1.0,443.192,96.223,0.9980000257492065,488.119,99.697,1.0,526.97,100.469,1.0,747.446,95.023,1.0,749.158,147.506,1.0,749.693,185.936,0.9980000257492065,747.505,228.348,0.9990000128746033,728.524,267.493,1.0
30,305.672,124.653,1.0,357.169,112.082,1.0,405.105,106.985,0.9980000257492065,460.441,104.77,0.9990000128746033,498.375,104.904,1.0,754.197,77.795,1.0,748.289,129.155,1.0,746.938,170.387,0.9990000128746033,740.651,213.298,1.0,729.734,245.764,1.0
31,208.046,139.636,1.0,265.685,125.398,0.9980000257492065,310.229,109.024,0.996999979019165,366.413,91.051,0.9290000200271606,405.046,67.713,0.9750000238418579,770.235,65.604,0.9990000128746033,764.952,119.61,1.0,753.735,166.11,1.0,743.661,201.768,1.0,739.381,239.778,1.0
32,155.247,141.756,1.0,208.808,134.169,0.9990000128746033,251.483,123.092,0.9800000190734863,302.572,100.369,0.9980000257492065,348.038,83.201,0.9940000176429749,796.674,51.253,0.996999979019165,778.098,102.007,1.0,773.519,142.846,1.0,764.98,182.626,1.0,758.853,213.819,1.0
33,109.314,130.139,1.0,166.706,135.728,0.9990000128746033,210.654,122.495,0.9959999918937683,243.006,108.207,0.9990000128746033,284.968,102.742,0.9990000128746033,817.133,67.89,0.9929999709129333,795.12,102.652,0.9990000128746033,785.676,134.103,1.0,773.842,160.665,0.9990000128746033,755.562,188.381,1.0
34,71.748,120.773,0.9990000128746033,122.924,127.88,1.0,170.569,124.552,0.996999979019165,213.33,121.763,0.9980000257492065,255.48,115.181,1.0,812.849,115.963,0.2759999930858612,795.798,79.191,0.8960000276565552,780.405,142.061,0.9570000171661377,771.275,161.387,0.9980000257492065,757.358,186.359,1.0
35,42.316,115.612,0.9990000128746033,98.551,130.022,1.0,143.759,133.277,1.0,189.291,132.706,1.0,226.293,122.807,1.0,805.751,140.237,0.8360000252723694,787.38,109.237,0.6399999856948853,778.473,124.779,0.7559999823570251,764.253,155.421,0.8330000042915344,748.626,192.451,1.0
36,17.189,115.421,0.9980000257492065,58.373,127.538,0.984000027179718,107.464,131.088,0.996999979019165,148.819,123.278,0.9829999804496765,185.101,111.436,1.0,787.176,122.02,0.9869999885559082,772.535,135.687,0.9990000128746033,771.125,156.027,0.9990000128746033,764.767,178.171,1.0,749.29,204.419,1.0
37,11.225,92.172,0.6840000152587891,54.135,111.028,0.9919999837875366,94.586,118.725,0.9929999709129333,131.429,115.432,0.9980000257492065,173.348,109.616,0.996999979019165,741.375,84.754,0.9909999966621399,745.309,117.908,0.9980000257492065,749.015,153.933,1.0,748.09,185.143,1.0,743.921,214.886,1.0
